ID,NameSubtext_lang,Description_lang,AuraDescription_lang
1719,,"The warrior will cause critical hits with most attacks and will be immune to Fear effects for the next $d, but all damage taken is increased by $s2%.","Immune to Fear effects, most attacks do critical hits, but all damage taken is increased by $s2%."
1130,"Rank 1","Places the Hunter's Mark on the target, increasing the ranged attack power of all attackers against that target by $s2 and by an additional ${$m2/10} each time they are struck by a ranged attack, up to a maximum of ${$m2*4}.  In addition, the target of this ability can always be seen by the hunter whether it stealths or turns invisible.  The target also appears on the mini-map.  Lasts for $d.","All attackers gain $s2 ranged attack power against this target."
1133,,"Restores ${$m2/5*27} mana over $d.  Must remain seated while drinking.","Restores ${$m2/5} mana per second."
1135,,"Restores ${$m2/5*30} mana over $d.  Must remain seated while drinking.","Restores ${$m2/5} mana per second."
1138,,"Increases Frost and Shadow resistance by $s1 for $d.","Increased Frost and Shadow resistance."
1139,,"Increases time between target's attacks by $s1% for $d.","Slowed attack speed."
1152,,"Purifies the friendly target, removing $s1 disease effect and $s2 poison effect.",
1159,"Rank 2","Heals $o1 damage over $d.","Healing $s1 damage every $t1 seconds."
1160,"Rank 1","Reduces the melee attack power of all enemies within $a1 yards by $s1 for $d.","Reduces melee attack power by $s1."
1161,,"Forces all enemies within $a1 yards to focus attacks on you for $d.",Taunted.
1234,,"Fatal damage is absorbed.
$s2% Health healed every $t2 sec.","Fatal damage is absorbed.
$s2% Health healed every $t2 sec."
1243,"Rank 1","Power infuses the target, increasing their Stamina by $s1 for $d.","Increases Stamina by $w1."
1244,"Rank 2","Power infuses the target, increasing their Stamina by $s1 for $d.","Increases Stamina by $w1."
1245,"Rank 3","Power infuses the target, increasing their Stamina by $s1 for $d.","Increases Stamina by $w1."
1329,"Rank 1","Instantly attacks with both weapons for an additional $5374s1 with each weapon.  Damage is increased by 50% against Poisoned targets.  Must be behind the target.  Awards 2 combo points.",
1330,,,Silenced.
1364,"Rank 4",,
1373,Summon,,
1386,"Rank 4",,"Increases melee, ranged and spell damage dealt to Undead by $s1%."
1430,"Rank 3","Heals the target for $o1 over $d.","Heals $s1 damage every $t1 seconds."
1446,Shapeshift,,
1449,"Rank 1","Causes an explosion of arcane magic around the caster, causing $s1 Arcane damage to all targets within $a1 yards.",
1454,"Rank 1","Converts $s1 health into $s1 mana.",
1455,"Rank 2","Converts $s1 health into $s1 mana.",
1456,"Rank 3","Converts $s1 health into $s1 mana.",
1459,"Rank 1","Increases the target's Intellect by $s1 for $d.","Increases Intellect by $s1."
1460,"Rank 2","Increases the target's Intellect by $s1 for $d.","Increases Intellect by $s1."
1461,"Rank 3","Increases the target's Intellect by $s1 for $d.","Increases Intellect by $s1."
1462,,"Gather information about the target beast.  The tooltip will display damage, health, armor, any special resistances, and diet.  In addition, Beast Lore will reveal whether or not the creature is tameable and what abilities the tamed creature has.","Lore revealed."
1463,"Rank 1","Absorbs $s1 damage, draining mana instead.  Drains $e mana per damage absorbed.  Lasts $d.","Absorbs damage, draining mana instead."
1464,"Rank 1","Slams the opponent, causing weapon damage plus $s1.",
1485,,"Fire at the target with a ranged weapon.",
1490,"Rank 1","Curses the target for $d, reducing Arcane, Fire, Frost, and Shadow resistances by $s1 and increasing Arcane, Fire,  Frost, and Shadow damage taken by $s2%.  Only one Curse per Warlock can be active on any one target.","Reduces Arcane, Fire, Frost, and Shadow resistances by $s1.  Increases Arcane, Fire, Frost, and Shadow damage taken by $s2%."
1494,,"Shows the location of all nearby beasts on the minimap.  Only one form of tracking can be active at a time.","Tracking Beasts."
1495,"Rank 1","Counterattack the enemy for ${$AP*0.2+$m1} damage.  Can only be performed after you dodge.",
1499,"Rank 1","Place a frost trap that freezes the first enemy that approaches, preventing all action for up to $3355d.  Any damage caused will break the ice.  Trap will exist for $d.  Only one trap can be active at a time.",
1510,"Rank 1","Continuously fires a volley of ammo at the target area, causing $42243s1 Arcane damage to enemy targets within $a1 yards every second for $d.",
1513,"Rank 1","Scares a beast, causing it to run in fear for up to $d.  Damage caused may interrupt the effect.  Only one beast can be feared at a time.",Feared.
1515,,"Begins taming a beast to be your companion.  Your armor is reduced by $s3% while you focus on taming the beast for 20 sec.  If you lose the beast's attention for any reason, the taming process will fail.  Once tamed, the beast will be very unhappy and disloyal.  Try feeding the pet immediately to make it happy.","Taming pet."
1516,"Rank 1","Instantly fires your weapon, causing $s1 additional damage.",
1528,"Rank 1","Frees your master from any bonds.",
1535,"Rank 1","Summons a Fire Nova Totem that has $s1 health and lasts $d.  Unless it is destroyed within $8443t1 sec., the totem inflicts $8349s1 fire damage to enemies within $8349a1 yd.",
1538,,"Charges the Rod of Helcular when used at the three ceremonial pyres.",
1539,,,"Increases happiness."
1543,,"Exposes all hidden and invisible enemies within $a1 yards of the targeted area for $d.","Hidden and invisible units are revealed."
1557,,"Increase movement speed by $s1",
1604,,"A concussive strike dismounts the target and reduces movement speed by $s1%.","Movement speed reduced by $s1%."
1608,"Rank 4","A strong attack that increases melee damage by $s1 and causes a high amount of threat.",
1671,"Rank 2","Bashes the target with your shield for $s2 damage.  It also interrupts spellcasting and prevents any spell in that school from being cast for $d.",
1672,"Rank 3","Bashes the target with your shield for $s2 damage.  It also interrupts spellcasting and prevents any spell in that school from being cast for $d.",
1680,,"In a whirlwind of steel you attack up to $i enemies within $a1 yards, causing weapon damage from both melee weapons to each enemy.",
1706,,"Allows the caster to levitate, floating a few feet above the ground.  While levitating, you will fall at a reduced speed and travel over water.  Any damage will cancel the effect.  Lasts $d.",Levitating.
1714,"Rank 1","Forces the target to speak in Demonic, increasing the casting time of all spells by $s1%.  Only one Curse per Warlock can be active on any one target.  Lasts $d.","Speaking Demonic increasing casting time by $s1%."
1715,"Rank 1","Maims the enemy, causing $s1 damage and slowing the enemy's movement by $s2% for $d.","Movement slowed by $s2%."
3968,,"Build a Goblin Land Mine.",
1725,,"Throws a distraction, attracting the attention of all nearby monsters for $s1 seconds.  Does not break stealth.",
1735,"Rank 2","The druid roars, decreasing nearby enemies' melee attack power by $s1.  Lasts $d.","Decreases melee attack power by $s1."
1742,"Rank 1","Cower, causing no damage but lowering your threat, making the enemy less likely to attack you.",
1747,"Rank 1",,
1748,"Rank 2",,
1749,"Rank 3",,
1751,"Rank 5",,
1752,"Rank 1","An instant strike that causes $s1 damage in addition to your normal weapon damage.  Awards $s2 combo $lpoint:points;.",
1753,"Rank 2","Cower, causing no damage but lowering your threat, making the enemy less likely to attack you.",
1754,"Rank 3","Cower, causing no damage but lowering your threat, making the enemy less likely to attack you.",
1755,"Rank 4","Cower, causing no damage but lowering your threat, making the enemy less likely to attack you.",
1756,"Rank 5","Cower, causing no damage but lowering your threat, making the enemy less likely to attack you.",
1757,"Rank 2","An instant strike that causes $s1 damage in addition to your normal weapon damage.  Awards $s2 combo $lpoint:points;.",
1758,"Rank 3","An instant strike that causes $s1 damage in addition to your normal weapon damage.  Awards $s2 combo $lpoint:points;.",
1759,"Rank 4","An instant strike that causes $s1 damage in addition to your normal weapon damage.  Awards $s2 combo $lpoint:points;.",
1760,"Rank 5","An instant strike that causes $s1 damage in addition to your normal weapon damage.  Awards $s2 combo $lpoint:points;.",
1766,"Rank 1","A quick kick that injures a single foe for $s2 damage.  It also interrupts spellcasting and prevents any spell in that school from being cast for $d.",
1767,"Rank 2","A quick kick that injures a single foe for $s2 damage.  It also interrupts spellcasting and prevents any spell in that school from being cast for $d.",
1768,"Rank 3","A quick kick that injures a single foe for $s2 damage.  It also interrupts spellcasting and prevents any spell in that school from being cast for $d.",
1769,"Rank 4","A quick kick that injures a single foe for $s2 damage.  It also interrupts spellcasting and prevents any spell in that school from being cast for $d.",
1776,"Rank 1","Causes $s1 damage, incapacitating the opponent for $d, and turns off your attack.  Target must be facing you.  Any damage caused will revive the target.  Awards $s2 combo $lpoint:points;.",Incapacitated.
1777,"Rank 2","Causes $s1 damage, incapacitating the opponent for $d, and turns off your attack.  Target must be facing you.  Any damage caused will revive the target.  Awards $s2 combo $lpoint:points;.",Incapacitated.
1784,"Rank 1","Allows the rogue to sneak around, but reduces your speed by $s3%.  Lasts until cancelled.","Stealthed.  Movement slowed by $s3%."
1785,"Rank 2","Allows the rogue to sneak around, but reduces your speed by $s3%.  Lasts until cancelled.","Stealthed.  Movement slowed by $s3%."
1786,"Rank 3","Allows the rogue to sneak around, but reduces your speed by $s3%.  Lasts until cancelled.","Stealthed.  Movement slowed by $s3%."
1787,"Rank 4","Allows the rogue to sneak around, but reduces your speed by $s3%.  Lasts until cancelled.","Stealthed.  Movement slowed by $s3%."
1804,,"Allows opening of locked chests and doors.",
1809,Apprentice,,
1810,Journeyman,,
1822,"Rank 1","Rake the target for ${$AP/100+$m1} bleed damage and an additional ${$m2*3+$AP*0.06} damage over $d.  Awards $s3 combo $lpoint:points;.","Bleeding for $s2 damage every $t2 seconds."
1823,"Rank 2","Rake the target for ${$AP/100+$m1} bleed damage and an additional ${$m2*3+$AP*0.06} damage over $d.  Awards $s3 combo $lpoint:points;.","Bleeding for $s2 damage every $t2 seconds."
1824,"Rank 3","Rake the target for ${$AP/100+$m1} bleed damage and an additional ${$m2*3+$AP*0.06} damage over $d.  Awards $s3 combo $lpoint:points;.","Bleeding for $s2 damage every $t2 seconds."
1825,,"Transfer control of your pet to another player.",
1833,,"Stuns the target for $d.  Must be stealthed.  Awards $s2 combo $lpoint:points;.",Stunned.
1834,,"Increases movement speed","Movement Speed increased by $s1%"
1842,,"Sneak up on the trap in order to disarm it.  Don't get too close or the trap will go off.",
1844,,"If Disarm is active when this affect is applied, Attumen will choose a new set of powers.",
1850,"Rank 1","Increases movement speed by $s1% for $d.  Does not break prowling.","Increases movement speed by $s1%."
1852,,"This is a GM tool for silencing players.  This spell just acts as a visual indicator so the player and GM know the player is currently silenced.","You can only chat with GM's."
